CONTAINER_NO,VESSEL,MCHN_ID,MCHN_TP_CD,JOB_TYPE,FULL_EMPTY,BLOCK_BAY,JOB_END_DT
container0,ship0,GC101,QC,DS-QUAYSIDE,M,2M-75,2018-01-31 9:49
container0,ship0,RS309,RS,DS-YARDSIDE,M,2M-75,2018-01-31 9:55
container0,ship0,YT555,YT,DS-MOVE,M,2M-75,2018-01-31 9:54
container1,ship0,GC103,QC,DS-QUAYSIDE,F,3C-09,2018-01-31 10:50
container1,ship0,TC235,TC,DS-YARDSIDE,F,3C-09,2018-01-31 10:58
container1,ship0,YT538,YT,DS-MOVE,F,3C-09,2018-01-31 10:57
container2,ship0,GC101,QC,DS-QUAYSIDE,M,2M-57,2018-01-31 9:51
container2,ship0,TH312,TH,DS-YARDSIDE,M,2M-57,2018-01-31 9:56
container2,ship0,YT513,YT,DS-MOVE,M,2M-57,2018-01-31 9:54
container3,ship0,GC105,QC,DS-QUAYSIDE,F,2C-06,2018-01-31 6:54
container3,ship0,TC233,TC,DS-YARDSIDE,F,2C-06,2018-01-31 6:59
container3,ship0,YT573,YT,DS-MOVE,F,2C-06,2018-01-31 6:58
container4,ship0,GC105,QC,DS-QUAYSIDE,F,1D-06,2018-01-31 6:39
container4,ship0,TC241,TC,DS-YARDSIDE,F,1D-06,2018-01-31 6:51
container4,ship0,YT571,YT,DS-MOVE,F,1D-06,2018-01-31 6:50
container5,ship0,GC104,QC,DS-QUAYSIDE,F,3.00E-82,2018-01-31 22:37
container5,ship0,TC256,TC,DS-YARDSIDE,F,3.00E-82,2018-01-31 22:51
container5,ship0,YT558,YT,DS-MOVE,F,3.00E-82,2018-01-31 22:50
container6,ship0,GC103,QC,DS-QUAYSIDE,F,3A-10,2018-01-31 21:26
container6,ship0,TC215,TC,DS-YARDSIDE,F,3A-10,2018-01-31 21:38
container6,ship0,YT521,YT,DS-MOVE,F,3A-10,2018-01-31 21:36
container7,ship0,GC103,GC,LD-QUAYSIDE,F,1F-72,2018-01-31 19:32
container7,ship0,TC262,TC,LD-YARDSIDE,F,1F-72,2018-01-31 19:28
container7,ship0,YT521,YT,LD-MOVE,F,1F-72,2018-01-31 19:31
container8,ship0,GC106,GC,LD-QUAYSIDE,F,1F-72,2018-01-31 12:35
container8,ship0,TC261,TC,LD-YARDSIDE,F,1F-72,2018-01-31 12:32
container8,ship0,YT595,YT,LD-MOVE,F,1F-72,2018-01-31 12:34
container9,ship0,GC101,GC,LD-QUAYSIDE,F,1D-51,2018-01-31 20:28
container9,ship0,TC242,TC,LD-YARDSIDE,F,1D-51,2018-01-31 20:25
